lead_id,company_name,industry_code,industry_name,lead_source,product_interest,inquiry_text,office_country,created_at,last_contacted_at,company_size,annual_revenue,lead_score,pages_viewed,requested_demo,sales_notes,constant_source,converted
50023,BluePeak Group,HLTH,Healthcare,Webinar,Customer data platform,Needs help replacing legacy BI tool with customer data platform,France,2021-06-02,2021-01-10,14,4498325.67,24.7,2,1,,crm_export,1
50024,Nimbus Solutions,TECH,Technology,Website,CRM integration,Asked about pricing for crm integration and onboarding support,UK,2024-08-06,2024-07-16,105,1199202.47,100.0,1,0,,crm_export,0
50025,Vertex Systems,TECH,Technology,Paid search,Forecasting dashboard,"Procurement requested details about lead scoring, pricing, and security",France,2024-05-16,2024-01-25,21,15817006.23,72.1,3,0,,crm_export,1
50026,Acme Systems,HLTH,Healtcare,Website,Security audit,Looking for security audit for a data team before Q2,Australia,2021-07-21,2021-06-22,504,6831704.92,59.9,8,0,,crm_export,1
50027,BluePeak Systems,TECH,Technlogy,Referral,Data warehouse,"Procurement requested details about reporting, pricing, and security",India,2025-01-28,2025-12-10,14,14549915.43,50.9,3,0,needs security review,crm_export,0
50028,Nova Systems,MFG,Manufacturing,Paid search,Customer data platform,Wants a demo focused on forecasting and integration options,Espana,2023-03-04,2023-11-05,88,21038450.69,56.5,9,0,asked about pricing,crm_export,1
50029,Nova Solutions,FIN,Finance,LinkedIn,Marketing automation,Needs help replacing legacy CRM with marketing automation,Espana,2025-06-12,2025-02-15,25,41622752.46,57.5,5,0,NA,crm_export,1
50030,Acme Solutions,EDU,Education,Paid search,CRM integration,"Procurement requested details about lead scoring, pricing, and security",United Kingdom,2025-02-03,2025-09-12,68,17792367.28,77.8,3,1,asked about pricing,crm_export,0
50031,Nova Group,FIN,Finanace,Webinar,Marketing automation,Comparing vendors for marketing automation after a failed warehouse rollout,U.S.,2024-12-05,2024-05-08,200,11598401.32,58.1,4,0,,crm_export,0
50032,Summit Group,EDU,Education,Website,Customer data platform,Wants a demo focused on compliance and integration options,India,2022-06-13,2022-10-09,74,2318334.48,30.4,5,0,,crm_export,0
50033,Acme Systems,RETL,Retail,Webinar,Forecasting dashboard,Comparing vendors for forecasting dashboard after a failed CRM rollout,Germany,2024-03-24,2024-10-16,195,4968112.45,97.3,6,0,,crm_export,1
50034,BluePeak Group,TECH,Technology,NA,Data warehouse,Looking for data warehouse for a marketing team before Q2,Germany,2025-11-21,2025-10-15,221,40147280.42,69.4,5,1,asked about pricing,crm_export,1
50035,BluePeak Analytics,FIN,Finanace,Conference,Marketing automation,Wants a demo focused on lead scoring and integration options,Brasil,2021-04-11,,24,11703950.48,NA,4,1,,crm_export,1
50036,Summit Analytics,HLTH,Healthcare,Website,Customer data platform,Comparing vendors for customer data platform after a failed warehouse rollout,USA,2023-10-23,2023-11-18,165,5898937.43,35.2,6,1,,crm_export,1
50037,Summit Solutions,TECH,Technology,Cold email,Customer data platform,Needs help replacing legacy BI tool with customer data platform,Italia,2021-12-19,2021-04-04,34,5665196.09,19.0,5,1,,crm_export,1
50038,Nova Systems,EDU,Education,Website,Security audit,Asked about pricing for security audit and onboarding support,France,,2025-07-26,80,2960855.41,27.7,7,0,,crm_export,0
50039,Acme Labs,MFG,Manufacturing,Cold email,Analytics platform,Comparing vendors for analytics platform after a failed BI tool rollout,India,2022-02-27,NA,28,17477969.15,57.7,4,0,,crm_export,0
50040,Nova Labs,MEDIA,Meda,Website,Analytics platform,Wants a demo focused on lead scoring and integration options,Deutschland,2023-09-16,2023-07-04,47,10266363.89,58.0,8,0,,crm_export,1
50041,BluePeak Group,TECH,Technology,Conference,Security audit,Asked about pricing for security audit and onboarding support,Italia,2025-01-04,2025-06-17,23,21330790.42,73.7,6,0,needs security review,crm_export,1
50042,Nimbus Analytics,MEDIA,Meda,Referral,CRM integration,Needs help replacing legacy CRM with crm integration,Deutschland,2021-04-22,2021-03-27,21,9148992.36,56.7,7,1,follow up next quarter,crm_export,1
50043,Acme Labs,TECH,Technology,Webinar,Security audit,Comparing vendors for security audit after a failed warehouse rollout,USA,2021-06-26,2021-12-13,51,8740181.61,84.9,3,0,,crm_export,0
50044,Summit Group,EDU,Education,,Data warehouse,Looking for data warehouse for a data team before Q1,United Kingdom,2021-12-08,2021-08-25,73,614989.55,71.2,3,1,asked about pricing,crm_export,1
50045,Summit Systems,EDU,Education,Partner,Data warehouse,Looking for data warehouse for a marketing team before Q2,France,2023-01-25,2023-12-16,254,6160154.32,49.0,5,1,asked about pricing,crm_export,0
50046,Acme Group,EDU,Education,Website,Data warehouse,Asked about pricing for data warehouse and onboarding support,Espana,2024-04-26,2024-03-03,81,73838524.99,26.5,5,1,,crm_export,1
50047,BluePeak Analytics,EDU,Education,Website,Analytics platform,"Procurement requested details about lead scoring, pricing, and security",India,NA,2025-03-06,76,2477855.97,83.9,5,0,,crm_export,1
50048,Vertex Solutions,EDU,Education,,Customer data platform,Needs help replacing legacy BI tool with customer data platform,Italia,2021-01-03,2021-08-24,231,21788092.72,49.6,2,0,,crm_export,0
50049,Acme Analytics,TRVL,Trave,Cold email,Customer data platform,Looking for customer data platform for a operations team before Q1,U.S.,2025-02-15,2025-10-19,12,6015870.35,27.8,12,0,,crm_export,0
50050,BluePeak Analytics,EDU,Education,Cold email,Analytics platform,Wants a demo focused on forecasting and integration options,Canada,2025-12-05,2025-12-22,27,7831608.43,51.0,8,1,,crm_export,1
50051,Nimbus Group,MEDIA,Media,Paid search,Security audit,Comparing vendors for security audit after a failed CRM rollout,France,2024-07-02,2024-04-27,236,15451692.05,76.1,5,0,,crm_export,1
50052,BluePeak Systems,HLTH,Healthcare,Partner,Forecasting dashboard,Needs help replacing legacy warehouse with forecasting dashboard,India,2023-11-19,2023-04-17,76,6495212.07,42.6,5,0,,crm_export,0
50053,Nimbus Labs,FIN,Finance,Webinar,Security audit,Needs help replacing legacy BI tool with security audit,Australia,2024-11-16,2024-09-20,44,5898819.26,91.5,6,0,follow up next quarter,crm_export,0
50054,Acme Labs,EDU,Education,Cold email,Analytics platform,Needs help replacing legacy BI tool with analytics platform,Canada,2022-06-05,2022-03-14,198,9548680.87,51.5,5,0,needs security review,crm_export,0
50055,Nimbus Group,MFG,Manufacturing,Cold email,Security audit,Needs help replacing legacy CRM with security audit,Australia,2021-05-23,2021-09-22,54,16376596.04,54.6,5,1,needs security review,crm_export,1
50056,Vertex Systems,HLTH,Healthcare,Cold email,Customer data platform,Needs help replacing legacy BI tool with customer data platform,Germany,2023-04-20,2023-09-07,57,22423544.78,37.2,4,1,,crm_export,1
50057,Summit Analytics,TRVL,Travel,NA,Customer data platform,Looking for customer data platform for a finance team before Q2,Australia,2025-05-12,2025-04-14,125,20791342.75,43.1,0,0,follow up next quarter,crm_export,0
50058,Acme Analytics,RETL,Retail,LinkedIn,Marketing automation,Wants a demo focused on compliance and integration options,Spain,2022-01-20,2022-05-21,46,1139001.05,53.7,2,0,,crm_export,0
50059,Nova Systems,MEDIA,Meda,Paid search,Analytics platform,Needs help replacing legacy spreadsheet with analytics platform,Germany,2024-10-23,2024-06-16,163,13387539.83,64.8,5,0,NA,crm_export,0
50060,Vertex Analytics,MFG,Manufacturing,Partner,CRM integration,Asked about pricing for crm integration and onboarding support,Italia,2025-01-02,2025-03-15,29,18210383.89,81.5,5,0,asked about pricing,crm_export,1
50061,BluePeak Labs,HLTH,Healtcare,Referral,Security audit,Needs help replacing legacy CRM with security audit,Canada,2022-09-28,2022-02-13,46,,46.5,6,1,,crm_export,1
50062,BluePeak Group,TECH,Technology,LinkedIn,Analytics platform,Asked about pricing for analytics platform and onboarding support,United States,2023-06-14,2023-08-08,314,7178470.74,52.3,6,0,needs security review,crm_export,1
50063,Summit Analytics,FIN,,Website,Security audit,Comparing vendors for security audit after a failed warehouse rollout,Canada,2024-08-20,2024-09-19,54,2379127.93,36.9,7,0,,crm_export,0
50064,Nova Solutions,TRVL,Travel,Cold email,Data warehouse,"Procurement requested details about forecasting, pricing, and security",Italia,2021-09-01,2021-08-24,223,281943.86,65.0,4,0,asked about pricing,crm_export,0
50065,Nova Systems,RETL,Retail,LinkedIn,Analytics platform,Asked about pricing for analytics platform and onboarding support,Great Britain,2024-12-20,2024-10-17,42,9210376.13,83.9,8,0,NA,crm_export,1
50066,Summit Solutions,FIN,Finanace,Paid search,Data warehouse,Comparing vendors for data warehouse after a failed CRM rollout,Italia,2024-04-15,2024-03-25,23,11723937.85,78.9,5,0,,crm_export,1
50067,Acme Systems,MFG,Manufactring,Paid search,Data warehouse,Needs help replacing legacy BI tool with data warehouse,United States,2021-06-22,2021-12-02,51,6528283.74,44.5,1,1,needs security review,crm_export,0
50068,Vertex Solutions,EDU,Educaton,Partner,Security audit,Wants a demo focused on lead scoring and integration options,Espana,2023-10-01,2023-02-22,46,5511577.06,85.0,6,0,NA,crm_export,0
50069,Acme Systems,RETL,Retial,Conference,Customer data platform,Comparing vendors for customer data platform after a failed CRM rollout,Canada,2025-01-15,2025-08-15,41,32442490.33,60.3,5,1,asked about pricing,crm_export,1
50070,BluePeak Systems,RETL,Retail,Conference,Forecasting dashboard,Wants a demo focused on compliance and integration options,India,2024-10-02,2024-04-26,69,11341478.4,68.3,4,0,,crm_export,1
50071,Vertex Solutions,EDU,Education,Referral,Analytics platform,Asked about pricing for analytics platform and onboarding support,Germany,2025-11-05,2025-02-10,55,17967326.76,66.1,5,1,,crm_export,0
50072,BluePeak Systems,RETL,Retail,Referral,CRM integration,Wants a demo focused on compliance and integration options,Australia,2023-05-10,2023-09-03,12,2751421.68,35.1,5,0,,crm_export,1
50073,Nimbus Labs,TECH,Technology,Paid search,Forecasting dashboard,Looking for forecasting dashboard for a finance team before Q1,Brasil,2024-06-28,2024-05-06,46,5370667.66,96.7,3,1,asked about pricing,crm_export,1
50074,Summit Labs,EDU,Educaton,,Customer data platform,Asked about pricing for customer data platform and onboarding support,France,2021-11-20,2021-05-26,47,31572252.68,22.1,3,0,asked about pricing,crm_export,0
50075,BluePeak Systems,FIN,Finance,Conference,Forecasting dashboard,Looking for forecasting dashboard for a operations team before Q1,Canada,2023-10-25,2023-09-25,43,7839454.62,56.0,4,0,asked about pricing,crm_export,1
50076,Summit Labs,HLTH,Healthcare,Conference,CRM integration,Looking for crm integration for a marketing team before Q2,U.S.,2024-09-19,2024-06-12,86,12518593.18,21.9,4,1,,crm_export,1
50077,Nova Group,HLTH,Healthcare,Cold email,Security audit,Wants a demo focused on forecasting and integration options,Brasil,2021-12-24,2021-07-23,20,23684345.46,45.7,5,0,,crm_export,1
50078,Nimbus Labs,MFG,Manufacturing,Referral,Customer data platform,Comparing vendors for customer data platform after a failed warehouse rollout,UK,2024-01-25,2024-04-14,160,48338659.49,92.3,7,0,,crm_export,0
50079,Nova Group,FIN,Finance,Website,Security audit,Asked about pricing for security audit and onboarding support,Australia,2023-07-13,2023-07-19,31,7045795.04,0.0,7,1,,crm_export,0
50080,BluePeak Group,FIN,Finance,LinkedIn,Data warehouse,Needs help replacing legacy warehouse with data warehouse,France,2024-12-22,2024-11-17,94,4274278.09,81.1,5,0,follow up next quarter,crm_export,1
50081,Summit Labs,HLTH,Healthcare,Website,Security audit,Comparing vendors for security audit after a failed CRM rollout,Great Britain,2023-07-28,2023-07-05,47,9355115.95,42.7,3,0,,crm_export,1
50082,Acme Analytics,MEDIA,Media,Conference,Security audit,Asked about pricing for security audit and onboarding support,Deutschland,2025-03-07,2025-02-11,30,7497052.36,74.0,4,0,NA,crm_export,0
50083,Vertex Group,TRVL,Travel,Webinar,Data warehouse,Asked about pricing for data warehouse and onboarding support,India,2023-10-25,2023-08-22,12,2434643.64,52.0,9,1,,crm_export,1
50084,BluePeak Analytics,MFG,Manufactring,Referral,Forecasting dashboard,Wants a demo focused on lead scoring and integration options,Brasil,2021-02-07,2021-03-12,16,48133773.06,52.6,7,1,,crm_export,0
50085,BluePeak Analytics,MFG,Manufacturing,Partner,Security audit,Comparing vendors for security audit after a failed warehouse rollout,India,2022-06-14,2022-04-13,83,5842314.73,57.1,4,0,follow up next quarter,crm_export,0
50086,Acme Systems,FIN,Finance,LinkedIn,Data warehouse,"Procurement requested details about lead scoring, pricing, and security",Italia,2024-05-21,2024-03-18,22,26086417.92,79.9,5,0,,crm_export,1
50087,Acme Labs,MFG,Manufacturing,Cold email,Marketing automation,Wants a demo focused on reporting and integration options,Espana,2023-12-04,2023-05-11,460,13201978.45,93.8,6,1,NA,crm_export,1
50088,Summit Solutions,MEDIA,Meda,,Customer data platform,"Procurement requested details about lead scoring, pricing, and security",Australia,2023-06-01,2023-05-21,103,1393729.99,54.7,8,0,follow up next quarter,crm_export,0
50089,Summit Labs,TRVL,Travel,NA,CRM integration,Looking for crm integration for a sales team before Q2,Germany,2021-12-21,2021-11-10,392,1932789.42,37.1,3,1,needs security review,crm_export,0
50090,Nova Labs,TRVL,Travel,Referral,CRM integration,Asked about pricing for crm integration and onboarding support,Great Britain,2021-10-11,2021-12-21,42,21181546.88,24.3,4,0,asked about pricing,crm_export,0
50091,Acme Systems,RETL,Retail,Cold email,Security audit,Needs help replacing legacy warehouse with security audit,Espana,2024-02-11,2024-08-09,38,2574943.31,70.9,5,0,,crm_export,0
50092,Vertex Labs,TRVL,Travel,Paid search,Marketing automation,Looking for marketing automation for a marketing team before Q2,U.S.,2025-04-28,2025-02-24,89,4579500.25,53.6,5,0,needs security review,crm_export,0
50093,Acme Group,HLTH,Healthcare,Webinar,Marketing automation,Looking for marketing automation for a sales team before Q3,Italy,2022-06-14,2022-11-27,35,14694758.25,48.0,9,0,,crm_export,1
50094,Summit Analytics,RETL,Retail,Website,Data warehouse,Looking for data warehouse for a finance team before Q4,Canada,2021-05-25,2021-06-14,101,,53.5,5,0,NA,crm_export,0
50095,Summit Systems,EDU,Education,Cold email,Customer data platform,"Procurement requested details about forecasting, pricing, and security",Canada,2021-01-25,2021-03-09,24,8479969.63,35.0,9,0,asked about pricing,crm_export,0
50096,Acme Analytics,HLTH,Healthcare,Cold email,Security audit,Needs help replacing legacy spreadsheet with security audit,Italy,2021-02-06,2021-07-06,19,5389340.87,52.7,9,1,,crm_export,1
50097,Summit Analytics,TECH,Technology,Conference,Security audit,Wants a demo focused on compliance and integration options,Australia,2025-09-16,2025-06-10,89,13597291.6,34.9,3,1,needs security review,crm_export,1
50098,Summit Systems,FIN,Finance,Conference,Marketing automation,Needs help replacing legacy warehouse with marketing automation,Brazil,2024-03-21,,504,896464.78,43.8,3,0,,crm_export,1
50099,Summit Systems,TECH,Technology,Website,Analytics platform,Needs help replacing legacy BI tool with analytics platform,Great Britain,2025-12-10,2025-03-01,291,1407009.41,72.2,4,0,,crm_export,0
50100,Vertex Systems,HLTH,Healthcare,Partner,CRM integration,Asked about pricing for crm integration and onboarding support,Australia,2024-02-18,2024-05-06,25,18711051.29,74.5,5,0,,crm_export,1
50101,Nova Labs,TRVL,Travel,Partner,Security audit,Needs help replacing legacy BI tool with security audit,Great Britain,2023-11-25,2023-03-01,137,,51.0,8,0,asked about pricing,crm_export,1
50102,Nova Labs,TECH,Technology,Partner,CRM integration,Looking for crm integration for a finance team before Q1,India,,2023-12-07,127,27427307.7,59.9,4,0,,crm_export,0
50103,Nova Analytics,MFG,Manufactring,Partner,Customer data platform,Wants a demo focused on compliance and integration options,USA,2022-09-01,2022-04-28,98,7364560.86,68.9,10,0,,crm_export,1
50104,Nova Solutions,HLTH,Healthcare,LinkedIn,Analytics platform,Looking for analytics platform for a sales team before Q3,India,2025-04-13,2025-10-27,25,7232431.12,52.5,0,1,,crm_export,0
50105,Nimbus Group,HLTH,Healthcare,Website,Marketing automation,Asked about pricing for marketing automation and onboarding support,Italia,2021-11-04,2021-09-23,106,7693527.09,46.4,4,0,needs security review,crm_export,0
50106,Acme Analytics,TRVL,Travel,Cold email,Forecasting dashboard,Looking for forecasting dashboard for a finance team before Q2,France,2023-07-27,2023-04-23,94,9906532.84,63.8,6,0,needs security review,crm_export,1
50107,Vertex Labs,EDU,Education,Paid search,Data warehouse,"Procurement requested details about compliance, pricing, and security",UK,2021-06-01,2021-08-14,27,14491665.07,71.8,7,0,asked about pricing,crm_export,0
50108,Nova Solutions,FIN,Finance,Website,Data warehouse,"Procurement requested details about lead scoring, pricing, and security",Deutschland,2021-01-03,2021-11-27,27,1975748.58,59.2,5,0,NA,crm_export,1
50109,Acme Analytics,FIN,Finanace,Webinar,Data warehouse,Comparing vendors for data warehouse after a failed BI tool rollout,Deutschland,2021-11-24,2021-07-06,48,7169384.71,65.7,5,1,,crm_export,1
50110,Nova Solutions,HLTH,Healthcare,Webinar,Forecasting dashboard,Comparing vendors for forecasting dashboard after a failed warehouse rollout,India,2023-01-12,2023-12-26,54,3193542.92,54.7,3,0,,crm_export,0
50111,Nimbus Analytics,TRVL,Travel,Cold email,Security audit,Needs help replacing legacy CRM with security audit,Australia,2023-08-10,2023-12-12,85,6207587.84,63.2,6,0,,crm_export,0
50112,Nova Systems,RETL,Retail,Conference,Security audit,Asked about pricing for security audit and onboarding support,Germany,2021-09-20,NA,84,17564419.61,36.1,3,0,NA,crm_export,0
50113,Nova Analytics,TRVL,Travel,,CRM integration,"Procurement requested details about lead scoring, pricing, and security",France,2024-12-11,2024-03-05,186,25425175.37,70.9,8,1,needs security review,crm_export,0
50114,BluePeak Group,RETL,Retail,Webinar,Security audit,"Procurement requested details about forecasting, pricing, and security",France,2024-06-01,2024-04-24,86,8155017.71,66.9,6,1,asked about pricing,crm_export,1
50115,Vertex Labs,HLTH,Healthcare,LinkedIn,Marketing automation,"Procurement requested details about compliance, pricing, and security",France,2024-11-09,2024-10-26,8,3352657.43,73.1,4,0,NA,crm_export,0
50116,Summit Solutions,EDU,Education,Paid search,Forecasting dashboard,Needs help replacing legacy BI tool with forecasting dashboard,Spain,2024-12-16,2024-07-18,309,4099471.12,78.5,5,0,,crm_export,1
50117,Vertex Systems,MFG,Manufactring,Referral,CRM integration,Asked about pricing for crm integration and onboarding support,Canada,2022-01-26,NA,33,2935154.79,47.3,5,0,,crm_export,0
50118,Vertex Group,TRVL,Travel,,Customer data platform,Comparing vendors for customer data platform after a failed warehouse rollout,Great Britain,2024-07-17,2024-10-28,249,38976068.18,100.0,6,0,asked about pricing,crm_export,0
50119,BluePeak Analytics,FIN,Finance,Partner,Forecasting dashboard,Wants a demo focused on forecasting and integration options,India,2025-07-05,2025-08-10,26,4716005.79,39.9,6,0,asked about pricing,crm_export,0
50120,Nimbus Solutions,MFG,Manufacturing,Website,Marketing automation,Comparing vendors for marketing automation after a failed warehouse rollout,Spain,2024-09-13,2024-08-04,41,13001729.88,76.7,5,0,asked about pricing,crm_export,0
50121,Summit Labs,RETL,Retial,,CRM integration,"Procurement requested details about lead scoring, pricing, and security",Deutschland,2024-01-07,2024-09-25,174,15712599.34,78.4,12,0,needs security review,crm_export,1
50122,Summit Systems,MFG,Manufactring,Referral,Analytics platform,Looking for analytics platform for a sales team before Q2,Spain,2025-10-08,2025-03-25,10,1662999.44,57.0,7,1,,crm_export,1
50123,Vertex Solutions,FIN,Finance,Cold email,Data warehouse,Wants a demo focused on forecasting and integration options,Brasil,2023-07-11,,32,67764575.15,68.9,8,0,follow up next quarter,crm_export,1
50124,Nimbus Group,HLTH,Healthcare,Referral,Security audit,Asked about pricing for security audit and onboarding support,Deutschland,2022-12-03,2022-01-01,164,2942078.86,66.8,8,0,asked about pricing,crm_export,1
50125,Vertex Solutions,RETL,Retial,Cold email,Marketing automation,Asked about pricing for marketing automation and onboarding support,Canada,2021-06-23,2021-03-08,174,2027805.85,39.8,4,0,NA,crm_export,0
50126,BluePeak Systems,EDU,Education,,Analytics platform,Asked about pricing for analytics platform and onboarding support,France,2022-09-01,2022-03-20,52,21742888.45,NA,4,0,,crm_export,1
50127,Nimbus Analytics,MEDIA,Media,,Marketing automation,Wants a demo focused on forecasting and integration options,Spain,2023-06-07,2023-11-05,201,54770747.98,73.5,2,0,follow up next quarter,crm_export,0
50128,Summit Labs,MFG,Manufactring,Webinar,Analytics platform,"Procurement requested details about forecasting, pricing, and security",Italia,2024-06-02,2024-08-22,21,11090413.28,66.7,5,0,,crm_export,1
50129,Acme Group,TECH,Technlogy,Cold email,Security audit,Comparing vendors for security audit after a failed warehouse rollout,France,2021-02-04,2021-09-16,42,40212540.52,25.7,5,0,,crm_export,0
50130,Nova Labs,MFG,Manufactring,Partner,Forecasting dashboard,Comparing vendors for forecasting dashboard after a failed CRM rollout,Brasil,2021-06-03,2021-02-14,47,3041937.78,67.0,2,0,asked about pricing,crm_export,0
50131,BluePeak Group,MEDIA,Media,Webinar,Security audit,Needs help replacing legacy CRM with security audit,Spain,2024-06-26,2024-11-15,44,10369434.47,56.6,7,0,,crm_export,0
50132,Nova Group,TECH,Technology,LinkedIn,Security audit,Asked about pricing for security audit and onboarding support,USA,2024-11-23,,22,3501366.71,27.1,7,0,asked about pricing,crm_export,1
50133,Nova Solutions,MFG,Manufacturing,Partner,CRM integration,Looking for crm integration for a data team before Q1,U.K.,2021-10-02,2021-03-03,71,3706737.27,25.2,8,0,NA,crm_export,1
50134,Nimbus Systems,MFG,Manufacturing,Webinar,Marketing automation,"Procurement requested details about lead scoring, pricing, and security",Espana,2022-08-18,2022-09-24,94,13099176.1,75.8,2,1,,crm_export,0
50135,Nova Group,MEDIA,Media,NA,Security audit,Needs help replacing legacy BI tool with security audit,Australia,2021-01-27,2021-09-19,27,8049681.94,65.6,6,1,,crm_export,1
50136,Vertex Systems,MEDIA,Media,Webinar,Data warehouse,Looking for data warehouse for a data team before Q1,Espana,2025-01-09,2025-01-03,34,3099636.56,30.2,3,1,,crm_export,1
50137,Summit Analytics,HLTH,Healthcare,Conference,Data warehouse,Wants a demo focused on compliance and integration options,USA,,2024-03-14,21,8070771.55,37.8,8,0,follow up next quarter,crm_export,0
50138,Summit Analytics,TECH,Technlogy,Paid search,Customer data platform,Wants a demo focused on compliance and integration options,Italia,2022-12-08,2022-04-22,41,17737942.98,39.5,4,0,,crm_export,0
50139,Vertex Labs,FIN,Finance,Cold email,Data warehouse,Needs help replacing legacy CRM with data warehouse,Brasil,2024-05-04,2024-03-24,259,4608812.95,95.5,5,0,,crm_export,1
50140,Nimbus Solutions,HLTH,Healthcare,LinkedIn,Marketing automation,Comparing vendors for marketing automation after a failed CRM rollout,Italia,2021-05-06,2021-12-24,1,23033906.17,66.3,5,0,asked about pricing,crm_export,1
50141,Summit Systems,HLTH,Healthcare,Referral,Security audit,Asked about pricing for security audit and onboarding support,Italia,2025-12-13,2025-11-14,490,5998681.54,55.5,5,0,NA,crm_export,0
50142,Nova Systems,HLTH,Healthcare,Partner,CRM integration,Wants a demo focused on compliance and integration options,Spain,2024-06-19,2024-10-05,186,16743047.7,75.7,2,0,,crm_export,0
50143,Summit Solutions,MFG,Manufactring,Referral,Data warehouse,Needs help replacing legacy warehouse with data warehouse,Espana,2024-07-08,2024-10-17,97,3881695.65,89.3,1,0,NA,crm_export,0
50144,Nimbus Group,MEDIA,Media,Webinar,Customer data platform,Wants a demo focused on forecasting and integration options,France,2024-12-09,2024-09-01,47,2144830.48,96.9,3,0,NA,crm_export,1
50145,Vertex Labs,RETL,Retail,Conference,Forecasting dashboard,Wants a demo focused on reporting and integration options,Spain,2022-08-18,2022-02-14,121,7826104.76,83.8,4,0,follow up next quarter,crm_export,0
